"",gene_symbol,GSM4781322,GSM4781323,GSM4781324,GSM4781325,GSM4781326,GSM4781327,GSM4781328,GSM4781329
ENSG00000000003,TSPAN6,1942,1945,1937,1215,1455,1496,1188,1820
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,1336,1497,1327,1167,1008,1024,828,1295
ENSG00000000457,SCYL3,791,808,782,546,636,605,648,607
ENSG00000000460,C1orf112,1587,2222,1700,1372,1332,1564,1378,1700
ENSG00000000938,FGR,63,18,0,164,6,13,19,87
ENSG00000000971,CFH,15,19,15,5,6,31,68,0
ENSG00000001036,FUCA2,4731,4166,4596,3841,4136,3285,2641,4311
ENSG00000001084,GCLC,1414,1607,995,1143,1133,977,1067,712
ENSG00000001167,NFYA,1379,1565,1435,1376,1730,986,1129,974
ENSG00000001460,STPG1,594,582,434,961,506,388,447,781
ENSG00000001461,NIPAL3,2789,2398,2425,4544,1939,1994,2007,3551
ENSG00000001497,LAS1L,1901,1767,1301,1917,1323,1248,1504,1002
ENSG00000001561,ENPP4,17,38,19,9,18,19,7,12
ENSG00000001617,SEMA3F,8313,4017,4447,13708,4729,5299,4133,10623
ENSG00000001626,CFTR,0,0,0,0,18,53,0,0
ENSG00000001629,ANKIB1,5690,4933,3286,4077,3662,4276,4593,5709
ENSG00000001630,CYP51A1,4286,4200,3616,3936,3808,4662,4018,5010
ENSG00000001631,KRIT1,2870,3127,3114,2183,2625,2888,2828,1893
ENSG00000002016,RAD52,740,613,268,1131,432,930,781,1207
ENSG00000002330,BAD,1404,983,2127,1723,1524,963,871,1994
ENSG00000002549,LAP3,3122,2306,2074,3779,1692,2012,1424,5348
ENSG00000002586,CD99,7804,5531,7826,5692,6956,6417,5250,6250
ENSG00000002587,HS3ST1,24,14,11,26,17,13,16,9
ENSG00000002726,AOC1,1,2,0,0,0,2,0,0
ENSG00000002745,WNT16,4,0,0,0,7,5,0,2
ENSG00000002746,HECW1,16,39,19,211,38,29,81,21
ENSG00000002822,MAD1L1,2278,2578,1259,3023,1502,2397,2057,2036
ENSG00000002834,LASP1,13407,9208,10270,10691,8827,8980,7937,11531
ENSG00000002919,SNX11,851,960,699,1011,718,545,688,896
ENSG00000002933,TMEM176A,0,0,1,0,0,0,0,0
ENSG00000003056,M6PR,7154,7448,6327,6784,5950,5636,4826,9420
ENSG00000003096,KLHL13,448,324,445,166,352,353,336,157
ENSG00000003137,CYP26B1,14,6,9,28,6,4,3,8
ENSG00000003147,ICA1,204,182,106,169,159,107,107,34
ENSG00000003249,DBNDD1,1372,822,1252,1579,1069,602,542,2057
ENSG00000003393,ALS2,3439,4233,3074,3098,3025,2817,3429,2589
ENSG00000003400,CASP10,1270,1282,933,2886,1222,1312,1383,1337
ENSG00000003402,CFLAR,8411,8219,4908,10911,4943,7467,8954,8538
ENSG00000003436,TFPI,24251,24344,23548,8957,22038,18657,21789,9347
ENSG00000003509,NDUFAF7,779,1042,859,582,850,690,601,692
ENSG00000003756,RBM5,9059,10563,6473,8683,7394,7892,8973,11433
ENSG00000003987,MTMR7,11,3,25,1,4,63,2,0
ENSG00000003989,SLC7A2,759,831,882,574,963,568,495,606
ENSG00000004059,ARF5,2115,2027,2943,1754,2333,1710,1396,1869
ENSG00000004139,SARM1,402,242,196,174,357,291,137,266
ENSG00000004142,POLDIP2,3711,2872,3669,3788,2797,2223,1930,4697
ENSG00000004399,PLXND1,16822,14217,9760,9528,12224,16050,14618,9415
ENSG00000004455,AK2,5260,5494,4883,5096,4860,3969,3868,6083
ENSG00000004468,CD38,80,33,37,75,24,32,51,16
ENSG00000004478,FKBP4,3395,3007,3460,3398,3303,4519,2841,6346
ENSG00000004487,KDM1A,6290,6774,6479,3793,5764,4765,4280,4649
ENSG00000004534,RBM6,3660,4963,2508,3923,3291,3906,4269,3881
ENSG00000004660,CAMKK1,619,654,560,471,578,730,742,493
ENSG00000004700,RECQL,6999,6844,6291,5977,5735,4989,4155,7932
ENSG00000004766,VPS50,2472,2922,2226,1443,2104,2369,2592,1583
ENSG00000004776,HSPB6,2,2,4,7,30,9,2,6
ENSG00000004777,ARHGAP33,553,608,554,461,813,506,1024,118
ENSG00000004779,NDUFAB1,1586,1275,1954,1070,1595,1242,813,1614
ENSG00000004799,PDK4,2448,3268,3122,294,1777,6798,5526,1142
ENSG00000004809,SLC22A16,3,3,0,0,1,3,0,0
ENSG00000004838,ZMYND10,56,135,216,62,135,117,121,53
ENSG00000004846,ABCB5,56,46,19,41,22,46,53,25
ENSG00000004848,ARX,1,0,0,6,0,2,1,0
ENSG00000004864,SLC25A13,2298,2030,2104,1144,1459,1447,1887,1384
ENSG00000004866,ST7,1188,1233,886,1201,1053,1295,1103,1277
ENSG00000004897,CDC27,7639,7780,7098,4035,6531,8075,6706,3946
ENSG00000004939,SLC4A1,17,8,2,11,19,11,18,11
ENSG00000004948,CALCR,0,0,0,9,0,1,0,3
ENSG00000004961,HCCS,858,693,859,810,654,472,403,854
ENSG00000004975,DVL2,3801,3711,3097,3086,3487,3091,3780,3650
ENSG00000005001,PRSS22,1,0,0,0,0,1,1,0
ENSG00000005007,UPF1,6999,4955,4061,7741,4868,4552,4642,7983
ENSG00000005020,SKAP2,2943,3313,2654,2236,2954,2840,2395,2503
ENSG00000005022,SLC25A5,7874,7871,9879,7619,7691,5314,4883,8785
ENSG00000005059,MCUB,1512,1282,2228,1065,1487,1104,831,2140
ENSG00000005073,HOXA11,215,158,188,288,170,186,122,275
ENSG00000005075,POLR2J,1285,1071,1476,1280,1098,1039,751,1672
ENSG00000005100,DHX33,3352,2695,2581,3130,2928,1799,1914,3674
ENSG00000005102,MEOX1,2,0,0,1,0,0,0,0
ENSG00000005108,THSD7A,8,8,8,1,6,16,39,0
ENSG00000005156,LIG3,2169,2164,1564,2572,2135,2510,1672,2757
ENSG00000005175,RPAP3,1973,2679,1760,1396,1952,1675,1650,1578
ENSG00000005187,ACSM3,20,13,11,17,30,31,7,94
ENSG00000005189,REXO5,615,916,741,664,701,836,865,428
ENSG00000005194,CIAPIN1,2790,2719,2201,2682,2063,2058,1736,2962
ENSG00000005206,SPPL2B,2226,1433,1019,1970,1523,1720,1786,2305
ENSG00000005238,FAM214B,1382,806,821,2188,793,759,400,1807
ENSG00000005243,COPZ2,451,469,452,365,333,254,224,485
ENSG00000005249,PRKAR2B,60,75,61,46,34,45,32,64
ENSG00000005302,MSL3,836,893,816,811,900,947,800,891
ENSG00000005339,CREBBP,6007,6855,3449,4980,4616,5169,6328,4107
ENSG00000005379,TSPOAP1,78,12,15,4,82,193,198,6
ENSG00000005381,MPO,2,21,2,4,0,0,0,0
ENSG00000005421,PON1,0,0,0,0,0,0,0,0
ENSG00000005436,GCFC2,1570,1793,1745,1365,1397,983,989,1603
ENSG00000005448,WDR54,903,996,1309,546,1134,642,657,696
ENSG00000005469,CROT,727,678,629,691,552,430,511,471
ENSG00000005471,ABCB4,5,6,12,4,5,27,10,0
ENSG00000005483,KMT2E,4598,5519,3156,3951,4210,4699,4684,3019
ENSG00000005486,RHBDD2,1426,1089,1373,1608,1380,861,894,1890
ENSG00000005513,SOX8,372,45,50,863,61,67,14,2084
ENSG00000005801,ZNF195,1068,1167,669,2182,887,1013,972,1683
ENSG00000005810,MYCBP2,10540,10779,8615,10211,9387,8585,8101,7363
ENSG00000005812,FBXL3,4185,4245,4706,2727,4164,3070,2806,3609
ENSG00000005844,ITGAL,22,14,17,10,14,12,14,20
ENSG00000005882,PDK2,1116,1261,1361,767,1206,916,1064,815
ENSG00000005884,ITGA3,39543,21786,21785,54459,20120,21176,16551,57668
ENSG00000005889,ZFX,3994,4049,3470,2588,3050,3164,3305,3137
ENSG00000005893,LAMP2,7835,8407,8300,5214,6967,7453,6515,8133
ENSG00000005961,ITGA2B,41,71,76,55,138,63,100,49
ENSG00000005981,ASB4,21,37,4,5,38,17,16,11
ENSG00000006007,GDE1,4058,4097,4388,3816,4077,2731,2301,4532
ENSG00000006015,REX1BD,876,280,950,669,1094,683,350,588
ENSG00000006016,CRLF1,3409,1844,2504,8058,2529,3458,2684,12046
ENSG00000006025,OSBPL7,1276,1008,499,2280,787,1351,1107,2451
ENSG00000006042,TMEM98,214,224,208,159,240,202,219,161
ENSG00000006047,YBX2,13,25,4,6,33,4,0,11
ENSG00000006059,KRT33A,0,0,1,0,3,0,1,0
ENSG00000006062,MAP3K14,1031,926,547,1139,723,1030,900,1154
ENSG00000006071,ABCC8,1,0,0,3,0,3,0,15
ENSG00000006116,CACNG3,2,1,0,0,0,0,0,0
ENSG00000006118,TMEM132A,2897,1668,2226,2800,2524,2854,1737,5424
ENSG00000006125,AP2B1,15857,15313,12895,15560,14960,10466,11251,12779
ENSG00000006128,TAC1,2,0,3,1,0,1,0,0
ENSG00000006194,ZNF263,1814,1495,2041,1817,1331,1208,1208,2268
ENSG00000006210,CX3CL1,15,18,17,18,3,22,13,17
ENSG00000006282,SPATA20,2393,1752,1854,2564,1705,1579,1707,2995
ENSG00000006283,CACNA1G,13,5,12,85,10,15,15,67
ENSG00000006327,TNFRSF12A,2781,1449,2430,3662,2021,1187,844,3989
ENSG00000006377,DLX6,0,0,0,0,0,0,1,0
ENSG00000006432,MAP3K9,172,308,61,57,103,84,118,161
ENSG00000006451,RALA,2578,2528,2806,2742,2450,2222,1714,2137
ENSG00000006453,BAIAP2L1,575,372,328,410,296,200,203,676
ENSG00000006459,KDM7A,846,983,747,1173,1027,470,397,2173
ENSG00000006468,ETV1,13,20,46,107,45,31,86,28
ENSG00000006530,AGK,1564,1851,1616,1476,1551,1191,1188,1612
ENSG00000006534,ALDH3B1,874,688,1039,897,761,607,566,651
ENSG00000006555,TTC22,7,7,6,9,7,6,2,2
ENSG00000006576,PHTF2,3534,4454,4463,2261,3820,2611,2531,2799
ENSG00000006606,CCL26,0,0,0,0,0,3,0,3
ENSG00000006607,FARP2,3847,3430,2528,3436,2749,2925,3114,2560
ENSG00000006611,USH1C,10,62,4,115,19,2,3,46
ENSG00000006625,GGCT,1425,1281,1224,1043,1001,1113,862,1308
ENSG00000006634,DBF4,1831,2173,2298,942,2033,1932,1684,1056
ENSG00000006638,TBXA2R,437,355,144,298,202,426,413,283
ENSG00000006652,IFRD1,3243,3461,2578,4477,2981,2820,2034,5009
ENSG00000006659,LGALS14,0,0,0,0,0,0,0,0
ENSG00000006695,COX10,688,716,571,876,713,628,431,787
ENSG00000006704,GTF2IRD1,1448,984,1027,1510,957,874,1140,1953
ENSG00000006712,PAF1,2789,1955,2528,1975,2149,2161,1912,3614
ENSG00000006715,VPS41,4538,5218,3607,3725,3440,4189,3790,3792
ENSG00000006740,ARHGAP44,57,17,35,46,43,38,66,80
ENSG00000006744,ELAC2,3437,2995,2951,2937,3165,1982,2590,3651
ENSG00000006747,SCIN,156,99,115,256,124,93,102,97
ENSG00000006756,ARSD,258,221,278,193,187,161,102,223
ENSG00000006757,PNPLA4,197,120,113,164,166,59,112,80
ENSG00000006788,MYH13,0,0,0,0,0,0,0,10
ENSG00000006831,ADIPOR2,3361,4018,3015,2626,4204,3755,3942,3072
ENSG00000006837,CDKL3,125,148,139,133,208,154,137,139
ENSG00000007001,UPP2,0,0,0,0,2,1,0,0
ENSG00000007047,MARK4,1308,1490,690,1578,893,1269,808,1495
ENSG00000007062,PROM1,0,2,5,0,0,0,4,0
ENSG00000007080,CCDC124,822,379,800,998,598,582,381,1255
ENSG00000007129,CEACAM21,1,1,4,0,0,0,1,0
ENSG00000007168,PAFAH1B1,9485,11633,9240,8919,11416,7869,9192,10386
ENSG00000007171,NOS2,3,0,5,0,2,1,1,0
ENSG00000007174,DNAH9,15,13,4,17,4,10,8,20
ENSG00000007202,KIAA0100,16614,13454,8707,14688,11785,12121,11935,14446
ENSG00000007216,SLC13A2,0,0,0,0,1,2,0,0
ENSG00000007237,GAS7,118,43,33,66,56,54,45,34
ENSG00000007255,TRAPPC6A,179,212,392,100,228,152,150,129
ENSG00000007264,MATK,376,196,209,533,171,254,225,857
ENSG00000007306,CEACAM7,0,0,0,0,0,0,0,0
ENSG00000007312,CD79B,46,38,91,109,41,29,22,174
ENSG00000007314,SCN4A,3,5,4,45,43,53,43,0
ENSG00000007341,ST7L,977,1055,773,884,920,978,1019,992
ENSG00000007350,TKTL1,2,0,13,0,3,0,1,6
ENSG00000007372,PAX6,5,9,20,45,5,40,26,102
ENSG00000007376,RPUSD1,972,450,870,819,711,576,503,1012
ENSG00000007384,RHBDF1,2970,2404,1500,5786,2235,1994,2202,4703
ENSG00000007392,LUC7L,1994,2303,1685,1708,1771,2090,2064,2384
ENSG00000007402,CACNA2D2,62,30,53,100,16,44,9,100
ENSG00000007516,BAIAP3,57,65,56,245,167,86,126,160
ENSG00000007520,TSR3,1211,698,1407,1105,1039,876,609,1563
ENSG00000007541,PIGQ,2808,2243,2575,3008,2567,2573,2120,3104
ENSG00000007545,CRAMP1,3000,2166,1341,2934,1607,1893,2226,2521
ENSG00000007866,TEAD3,600,476,570,830,482,308,250,1057
ENSG00000007908,SELE,2,3,0,0,0,2,0,0
ENSG00000007923,DNAJC11,2442,1859,1182,2544,1429,1613,1697,1969
ENSG00000007933,FMO3,16,32,9,26,28,27,36,11
ENSG00000007944,MYLIP,933,790,997,948,878,915,951,928
ENSG00000007952,NOX1,0,0,0,0,0,3,0,0
ENSG00000008018,PSMB1,5162,5027,6393,3431,4764,3586,2692,3820
ENSG00000008056,SYN1,41,20,22,77,43,20,15,29
ENSG00000008083,JARID2,769,614,640,585,576,440,446,562
ENSG00000008086,CDKL5,1025,1100,643,977,859,1031,1297,725
ENSG00000008118,CAMK1G,0,0,4,0,5,4,0,0
ENSG00000008128,CDK11A,750,869,397,921,649,801,714,680
ENSG00000008130,NADK,3324,3181,2443,3705,2876,2935,2466,4292
ENSG00000008196,TFAP2B,8,0,8,0,0,19,0,0
ENSG00000008197,TFAP2D,0,0,0,0,0,1,0,0
ENSG00000008226,DLEC1,6,5,17,17,11,8,5,64
ENSG00000008256,CYTH3,4690,3985,3157,2843,2655,3555,3530,3844
ENSG00000008277,ADAM22,147,151,37,16,136,37,124,82
ENSG00000008282,SYPL1,4181,4386,4191,3068,4019,3601,3633,2948
ENSG00000008283,CYB561,133,101,74,124,56,72,36,317
ENSG00000008294,SPAG9,12967,15944,8854,15002,8273,10592,11223,16760
ENSG00000008300,CELSR3,338,472,220,560,255,417,261,283
ENSG00000008311,AASS,1985,2426,1846,1110,1902,1959,1989,1031
ENSG00000008323,PLEKHG6,52,46,68,178,53,51,171,91
ENSG00000008324,SS18L2,428,457,399,315,371,335,269,274
ENSG00000008382,MPND,435,234,355,163,233,228,255,342
ENSG00000008394,MGST1,391,426,292,511,331,237,274,428
ENSG00000008405,CRY1,1569,1798,1679,1061,1459,1412,1500,1547
ENSG00000008438,PGLYRP1,0,1,0,0,0,1,0,0
ENSG00000008441,NFIX,816,673,825,461,865,656,539,287
ENSG00000008513,ST3GAL1,4166,3763,2410,3787,2012,5177,4754,2917
ENSG00000008516,MMP25,4,0,4,6,1,47,13,18
ENSG00000008517,IL32,235,229,306,610,229,238,187,1437
ENSG00000008710,PKD1,9577,6663,4634,12694,7585,6806,8208,10379
ENSG00000008735,MAPK8IP2,30,13,33,26,32,28,19,87
ENSG00000008838,MED24,2850,2286,1639,3848,2281,2395,2561,4225
ENSG00000008853,RHOBTB2,1244,1052,1086,1432,1215,988,1165,1597
ENSG00000008869,HEATR5B,3211,4203,2511,2027,3201,3232,3268,2394
ENSG00000008952,SEC62,3920,5317,3871,2423,3521,2956,3379,3395
ENSG00000008988,RPS20,15962,18994,23816,12932,15244,13164,9632,13275
ENSG00000009307,CSDE1,30074,33155,27088,24741,27395,21093,20735,31920
ENSG00000009335,UBE3C,7145,7963,5837,7449,5687,6342,7522,5909
ENSG00000009413,REV3L,9526,10341,5689,8366,6321,7955,9218,4936
ENSG00000009694,TENM1,7,1,7,3,5,2,1,5
ENSG00000009709,PAX7,0,1,0,0,1,8,3,0
ENSG00000009724,MASP2,4,0,1,4,3,4,0,0
ENSG00000009765,IYD,79,96,68,87,82,96,94,54
ENSG00000009780,FAM76A,689,696,673,747,748,538,558,442
ENSG00000009790,TRAF3IP3,2,0,0,0,0,7,0,0
ENSG00000009830,POMT2,1232,1004,708,1282,842,1145,1688,1766
ENSG00000009844,VTA1,2820,2876,3296,2505,2557,2036,1796,2667
ENSG00000009950,MLXIPL,77,120,43,80,89,98,105,108
ENSG00000009954,BAZ1B,10323,10131,7549,8705,7442,8216,8012,9722
ENSG00000010017,RANBP9,3118,3684,2981,2558,3199,2290,2382,2451
ENSG00000010030,ETV7,159,66,63,291,60,36,25,462
ENSG00000010072,SPRTN,1402,1497,1126,1211,1109,882,877,802
ENSG00000010165,EEF1AKNMT,1024,1109,964,1358,993,861,1077,1288
ENSG00000010219,DYRK4,42,18,8,65,67,45,48,74
ENSG00000010244,ZNF207,12195,14685,9766,8340,10682,12049,11701,9347
ENSG00000010256,UQCRC1,5642,5165,6128,6375,5343,3587,3717,7526
ENSG00000010270,STARD3NL,1618,1683,2050,1370,1625,1220,1110,1395
ENSG00000010278,CD9,14306,8911,11070,8941,7406,9979,9715,9994
ENSG00000010282,HHATL,34,20,82,99,19,13,1,129
ENSG00000010292,NCAPD2,12351,11311,9835,5955,13250,12560,12847,6872
ENSG00000010295,IFFO1,1485,1089,1246,1387,1120,1123,1165,1395
ENSG00000010310,GIPR,69,114,41,73,160,62,48,166
ENSG00000010318,PHF7,474,628,420,396,375,253,324,383
ENSG00000010319,SEMA3G,9,42,84,25,60,22,21,47
ENSG00000010322,NISCH,7307,7108,4288,6299,5732,6136,6535,6345
ENSG00000010327,STAB1,5594,2674,2220,3048,2557,4472,4128,2328
ENSG00000010361,FUZ,469,402,645,491,500,486,630,505
ENSG00000010379,SLC6A13,8,0,10,2,6,2,6,7
ENSG00000010404,IDS,3058,2388,2423,3384,2597,1891,1965,4063
ENSG00000010438,PRSS3,146,158,149,191,110,63,37,243
ENSG00000010539,ZNF200,765,866,762,812,737,530,641,760
ENSG00000010610,CD4,3,6,1,101,6,52,7,0
ENSG00000010626,LRRC23,226,301,212,196,236,176,250,309
ENSG00000010671,BTK,0,0,11,0,0,6,14,0
ENSG00000010704,HFE,639,696,887,340,640,373,521,273
ENSG00000010803,SCMH1,2351,2964,1659,2210,1702,1783,2239,1994
ENSG00000010810,FYN,3688,3564,1911,3899,2266,2930,3322,3823
ENSG00000010818,HIVEP2,2617,2922,2046,1965,3147,2171,1443,2679
ENSG00000010932,FMO1,0,0,0,0,0,0,0,0
ENSG00000011007,ELOA,4440,4004,3591,5315,3295,3345,2608,6280
ENSG00000011009,LYPLA2,2046,1512,1831,2811,1533,1089,954,2678
ENSG00000011021,CLCN6,1529,1472,777,1268,984,1500,1960,1403
ENSG00000011028,MRC2,9318,6764,8698,4845,9070,7495,6481,8795
ENSG00000011052,NME1-NME2,568,402,535,575,442,386,286,1022
ENSG00000011083,SLC6A7,1,0,0,5,2,0,0,4
ENSG00000011105,TSPAN9,3611,2818,2731,4112,2343,2710,3188,3341
ENSG00000011132,APBA3,802,658,700,1306,703,835,579,1934
ENSG00000011143,MKS1,735,720,455,574,580,536,595,750
ENSG00000011198,ABHD5,897,783,749,1327,812,833,927,1327
ENSG00000011201,ANOS1,2,0,0,0,6,2,3,0
ENSG00000011243,AKAP8L,3101,2423,1788,3904,1895,2302,2269,4434
ENSG00000011258,MBTD1,1260,1959,1066,992,1018,953,1535,678
ENSG00000011260,UTP18,2283,2595,2080,1576,1949,1378,1250,1560
ENSG00000011275,RNF216,3455,4317,2774,4346,2996,3481,3323,4150
ENSG00000011295,TTC19,2262,2578,2086,2294,2214,2013,1913,1730
ENSG00000011304,PTBP1,12341,7623,8235,9691,8381,9441,8089,11367
ENSG00000011332,DPF1,137,147,179,229,154,146,140,182
ENSG00000011347,SYT7,31,10,11,91,14,65,14,93
ENSG00000011376,LARS2,2000,1900,1193,1909,1550,1686,1734,2542
ENSG00000011405,PIK3C2A,11542,11249,9915,7393,10722,11400,10302,10088
ENSG00000011422,PLAUR,1854,1046,1046,3168,1081,1148,978,3327
ENSG00000011426,ANLN,19008,19551,18106,8880,18753,16245,15408,10059
ENSG00000011451,WIZ,1561,1052,1057,1358,1053,1159,929,1590
ENSG00000011454,RABGAP1,5546,5970,4722,5001,4430,4802,5863,5443
ENSG00000011465,DCN,13,3,17,3,6,36,31,7
ENSG00000011478,QPCTL,632,469,572,540,448,435,416,526
ENSG00000011485,PPP5C,4715,3539,3335,3932,3820,3200,3636,3706
ENSG00000011523,CEP68,1568,1497,1494,1269,1625,1278,1466,1345
ENSG00000011566,MAP4K3,2827,4042,2312,1982,2450,2002,2458,1081
ENSG00000011590,ZBTB32,5,0,0,9,0,2,1,19
ENSG00000011600,TYROBP,0,0,0,0,0,0,0,1
ENSG00000011638,TMEM159,592,541,612,757,518,666,457,846
ENSG00000011677,GABRA3,0,2,1,2,0,18,0,0
ENSG00000012048,BRCA1,7161,6494,5278,6447,5122,5195,6163,7426
ENSG00000012061,ERCC1,2786,2407,3122,2856,2357,1853,1723,2995
ENSG00000012124,CD22,22,39,7,33,26,48,45,11
ENSG00000012171,SEMA3B,447,120,251,1125,182,282,151,1473
ENSG00000012174,MBTPS2,1326,1537,1305,856,1403,984,1008,869
ENSG00000012211,PRICKLE3,221,201,142,290,205,165,190,327
ENSG00000012223,LTF,35,13,22,40,5,18,9,31
ENSG00000012232,EXTL3,2708,2710,1848,2657,1821,2598,2582,2917
ENSG00000012504,NR1H4,1,0,7,0,0,1,0,0
ENSG00000012660,ELOVL5,4380,4752,4114,3553,3803,4353,3682,2754
ENSG00000012779,ALOX5,63,35,19,186,40,8,17,216
ENSG00000012817,KDM5D,1025,1491,723,966,1011,1217,1083,1374
ENSG00000012822,CALCOCO1,5786,5770,4753,6968,4910,4747,5830,8548
ENSG00000012963,UBR7,225,247,217,155,89,37,24,139
ENSG00000012983,MAP4K5,3955,3565,3226,3300,3384,3676,3130,2845
ENSG00000013016,EHD3,82,60,125,53,98,93,117,97
ENSG00000013288,MAN2B2,2592,1568,2216,2019,2050,2024,1699,2416
ENSG00000013293,SLC7A14,87,79,367,60,59,84,105,63
ENSG00000013297,CLDN11,2877,1661,2756,1294,1912,1719,1379,1562
ENSG00000013306,SLC25A39,2626,1723,2663,3084,2050,2091,1543,4286
ENSG00000013364,MVP,6905,4309,4858,7306,4047,5677,5034,8350
ENSG00000013374,NUB1,2978,2848,2601,2449,2194,2177,2156,3085
ENSG00000013375,PGM3,4952,5807,3576,3629,3902,4016,3600,3565
ENSG00000013392,RWDD2A,303,336,310,209,295,189,221,262
ENSG00000013441,CLK1,4417,4429,4096,3060,2624,4557,4204,3678
ENSG00000013503,POLR3B,1115,1022,702,795,783,748,652,982
ENSG00000013523,ANGEL1,696,704,603,968,633,739,591,928
ENSG00000013561,RNF14,2399,2771,2573,3010,2098,1899,1806,3410
ENSG00000013563,DNASE1L1,2491,1869,2348,2162,1966,1873,1499,2191
ENSG00000013573,DDX11,6032,6093,2613,6802,5236,5836,6985,6177
ENSG00000013583,HEBP1,651,568,638,668,725,541,513,571
ENSG00000013588,GPRC5A,1674,1033,1205,2971,1232,1099,1000,1745
ENSG00000013619,MAMLD1,288,263,184,221,257,359,281,330
ENSG00000013725,CD6,4,0,0,0,0,15,5,0
ENSG00000013810,TACC3,4120,3724,3577,2509,4200,3995,4071,1970
ENSG00000014123,UFL1,2401,2558,2727,1359,2073,1804,1617,1835
ENSG00000014138,POLA2,3502,3673,2678,3813,2922,2884,2990,4202
ENSG00000014164,ZC3H3,643,305,432,905,495,505,586,725
ENSG00000014216,CAPN1,5317,4136,4031,6466,3499,3433,3504,6692
ENSG00000014257,ACP3,6,0,0,0,0,0,0,0
ENSG00000014641,MDH1,5940,6871,6484,5467,6192,4990,4275,6983
ENSG00000014824,SLC30A9,4406,4710,5207,4110,4475,2767,2730,4017
ENSG00000014914,MTMR11,612,682,435,823,587,739,666,1003
ENSG00000014919,COX15,2331,2618,1859,2187,2066,1611,2214,2948
ENSG00000015133,CCDC88C,1522,1167,816,775,841,2006,1683,705
ENSG00000015153,YAF2,1178,1319,1209,877,1192,1222,1042,436
ENSG00000015171,ZMYND11,4854,4361,3646,3773,3917,2822,3347,4772
ENSG00000015285,WAS,2,11,1,3,6,8,6,0
ENSG00000015413,DPEP1,28,39,44,171,35,49,81,386
ENSG00000015475,BID,2295,1462,2530,2733,2117,1239,1463,2482
ENSG00000015479,MATR3,18918,21806,19355,13885,16727,15540,14414,16827
ENSG00000015520,NPC1L1,8,4,0,5,2,3,12,4
ENSG00000015532,XYLT2,2150,1592,2024,1533,1992,1646,1347,2049
ENSG00000015568,RGPD5,6893,7897,4393,6435,6776,5961,7035,3319
ENSG00000015592,STMN4,4,2,0,0,1,5,0,0
ENSG00000015676,NUDCD3,3487,3274,2742,4639,3082,3129,3463,5150
ENSG00000016082,ISL1,2,2,3,0,0,1,3,0
ENSG00000016391,CHDH,153,141,131,90,82,155,156,94
ENSG00000016402,IL20RA,0,3,20,0,0,0,0,0
ENSG00000016490,CLCA1,0,0,0,0,0,5,2,0
ENSG00000016602,CLCA4,3,0,1,0,0,22,0,2
ENSG00000016864,GLT8D1,2205,2138,2568,1509,2341,1992,1517,1551
ENSG00000017260,ATP2C1,5273,5691,4466,3651,4357,4499,4541,4480
ENSG00000017427,IGF1,33,57,29,26,30,32,71,9
ENSG00000017483,SLC38A5,54,35,20,6,6,40,10,24
ENSG00000017797,RALBP1,5171,4488,4756,3683,4437,3814,4303,4467
ENSG00000018189,RUFY3,1898,2880,1470,1927,1730,1800,1926,1570
ENSG00000018236,CNTN1,31,11,0,0,1,16,11,0
ENSG00000018280,SLC11A1,52,44,20,73,26,30,54,35
ENSG00000018408,WWTR1,4919,3362,4638,3355,4219,3974,4190,2358
ENSG00000018510,AGPS,6296,7317,5174,3724,4895,4168,4136,3858
ENSG00000018607,ZNF806,0,0,1,0,0,2,0,0
ENSG00000018610,CXorf56,1111,1052,909,842,711,822,723,914
ENSG00000018625,ATP1A2,15,16,9,14,17,13,17,9
ENSG00000018699,TTC27,1069,985,659,972,749,893,677,1288
ENSG00000018869,ZNF582,101,123,149,124,129,126,123,94
ENSG00000019102,VSIG2,4,2,4,8,3,9,2,1
ENSG00000019144,PHLDB1,7377,5328,4494,11254,4760,4988,5338,11341
ENSG00000019169,MARCO,0,0,0,0,0,2,0,0
ENSG00000019186,CYP24A1,0,0,0,3,12,0,5,0
ENSG00000019485,PRDM11,417,232,389,455,284,352,243,653
ENSG00000019505,SYT13,5,11,10,0,1,13,5,0
ENSG00000019549,SNAI2,261,103,101,1131,100,94,91,900
ENSG00000019582,CD74,25,7,11,12,15,5,29,23
ENSG00000019991,HGF,13,0,4,3,5,9,5,0
ENSG00000019995,ZRANB1,3307,4261,3294,2820,3060,2419,2878,3273
ENSG00000020129,NCDN,1702,1219,1364,2048,1550,1077,1028,2206
ENSG00000020181,ADGRA2,3087,1818,2901,2431,2542,3060,2110,3396
ENSG00000020219,CCT8L1P,4,0,3,0,0,0,0,1
ENSG00000020256,ZFP64,1020,915,943,841,785,788,648,1320
ENSG00000020426,MNAT1,1633,1992,1534,1240,1424,1273,1307,1173
ENSG00000020577,SAMD4A,3114,1954,1168,3121,1717,1978,2216,2615
ENSG00000020633,RUNX3,11,33,88,42,18,7,6,36
ENSG00000020922,MRE11,4247,4847,3404,3473,3131,3981,3655,3440
ENSG00000021300,PLEKHB1,44,47,121,7,49,77,84,40
ENSG00000021355,SERPINB1,350,274,445,278,331,133,200,192
ENSG00000021461,CYP3A43,8,16,7,5,7,21,9,7
ENSG00000021488,SLC7A9,9,0,2,2,11,7,1,6
